long,lat,group,order,region,subregion
-75.79659271240234,37.3912239074707,1,33,virginia,chesapeake
-75.80231475830078,37.37403869628906,1,34,virginia,chesapeake
-75.81377410888672,37.362579345703125,1,35,virginia,chesapeake
-75.836700439453125,37.35111999511719,1,36,virginia,chesapeake
-75.8538818359375,37.33393096923828,1,37,virginia,chesapeake
-75.86534118652344,37.316741943359375,1,38,virginia,chesapeake
-75.88253021240234,37.276634216308594,1,39,virginia,chesapeake
-75.88253021240234,37.25944519042969,1,40,virginia,chesapeake
-75.89971923828125,37.24225616455078,1,41,virginia,chesapeake
-75.91117858886719,37.230796813964844,1,42,virginia,chesapeake
-75.93409729003906,37.179229736328125,1,43,virginia,chesapeake
-75.93409729003906,37.156314849853516,1,44,virginia,chesapeake
-75.9283676147461,37.14485168457031,1,45,virginia,chesapeake
-75.93982696533203,37.12766647338867,1,46,virginia,chesapeake
-75.95701599121094,37.12193298339844,1,47,virginia,chesapeake
-75.97420501708984,37.13339614868164,1,48,virginia,chesapeake
-76.008575439453125,37.21360778808594,1,49,virginia,chesapeake
-76.00285339355469,37.21934127807617,1,50,virginia,chesapeake
-75.99712371826172,37.24225616455078,1,51,virginia,chesapeake
-76.014312744140625,37.25944519042969,1,52,virginia,chesapeake
-76.008575439453125,37.28809356689453,1,53,virginia,chesapeake
-75.99139404296875,37.311012268066406,1,54,virginia,chesapeake
-75.99139404296875,37.32820129394531,1,55,virginia,chesapeake
-75.99139404296875,37.35111999511719,1,56,virginia,chesapeake
-75.962738037109375,37.37403869628906,1,57,virginia,chesapeake
-75.95701599121094,37.3912239074707,1,58,virginia,chesapeake
-75.95701599121094,37.40841293334961,1,59,virginia,chesapeake
-75.97993469238281,37.41987609863281,1,60,virginia,chesapeake
-75.97993469238281,37.43706130981445,1,61,virginia,chesapeake
-75.93982696533203,37.46571350097656,1,62,virginia,chesapeake
-75.945556640625,37.48862838745117,1,63,virginia,chesapeake
-75.93409729003906,37.52873229980469,1,64,virginia,chesapeake
-75.9283676147461,37.55165100097656,1,65,virginia,chesapeake
-75.9283676147461,37.563114166259766,1,66,virginia,chesapeake
-75.91690826416016,37.57456970214844,1,67,virginia,chesapeake
-75.91117858886719,37.59748840332031,1,68,virginia,chesapeake
-75.88253021240234,37.60322189331055,1,69,virginia,chesapeake
-75.8710708618164,37.608951568603516,1,70,virginia,chesapeake
-75.88253021240234,37.62040710449219,1,71,virginia,chesapeake
-75.876800537109375,37.64332580566406,1,72,virginia,chesapeake
-75.85961151123047,37.65478515625,1,73,virginia,chesapeake
-75.8538818359375,37.67197799682617,1,74,virginia,chesapeake
-75.836700439453125,37.677703857421875,1,75,virginia,chesapeake
-75.82523345947266,37.69489288330078,1,76,virginia,chesapeake
-75.82523345947266,37.717811584472656,1,77,virginia,chesapeake
-75.81950378417969,37.723541259765625,1,78,virginia,chesapeake
-75.80231475830078,37.7464599609375,1,79,virginia,chesapeake
-75.80804443359375,37.775108337402344,1,80,virginia,chesapeake
-75.785125732421875,37.78083801269531,1,81,virginia,chesapeake
-75.77366638183594,37.775108337402344,1,82,virginia,chesapeake
-75.73355865478516,37.769378662109375,1,83,virginia,chesapeake
-75.71064758300781,37.775108337402344,1,84,virginia,chesapeake
-75.72209930419922,37.80375671386719,1,85,virginia,chesapeake
-75.70491790771484,37.83240509033203,1,86,virginia,chesapeake
-75.6877212524414,37.83240509033203,1,87,virginia,chesapeake
-75.68199157714844,37.8438606262207,1,88,virginia,chesapeake
-75.699188232421875,37.87251281738281,1,89,virginia,chesapeake
-75.699188232421875,37.88969802856445,1,90,virginia,chesapeake
-75.72782897949219,37.89543151855469,1,91,virginia,chesapeake
-75.72782897949219,37.91261672973633,1,92,virginia,chesapeake
-75.70491790771484,37.924076080322266,1,93,virginia,chesapeake
-75.653350830078125,37.929805755615234,1,94,virginia,chesapeake
-75.64188385009766,37.94126510620117,1,95,virginia,chesapeake
-75.64188385009766,37.96418380737305,1,96,virginia,chesapeake
-75.27519226074219,38.03866958618164,2,98,virginia,chincoteague
-75.21790313720703,38.02720642089844,2,99,virginia,chincoteague
-75.246551513671875,37.99283218383789,2,100,virginia,chincoteague
-75.30384063720703,37.94126510620117,2,101,virginia,chincoteague
-75.31529998779297,37.929805755615234,2,102,virginia,chincoteague
-75.332489013671875,37.87251281738281,2,103,virginia,chincoteague
